Date, Open, High, Low, Close, Volume
05/03/12, 140.34, 140.45, 138.99, 139.25, 143762703
05/02/12, 139.92, 140.46, 139.46, 140.325, 121080898
05/01/12, 139.79, 141.66, 139.63, 140.74, 138837297
04/30/12, 140.11, 140.21, 139.49, 139.87, 115092203
04/27/12, 140.58, 140.79, 139.80, 140.39, 130725000
04/26/12, 138.89, 140.32, 138.81, 140.16, 136292703
04/25/12, 138.65, 139.25, 138.53, 139.19, 150255016
04/24/12, 136.91, 137.66, 136.80, 137.31, 137484188
04/23/12, 136.54, 136.91, 135.94, 136.79, 171844891
04/20/12, 138.33, 138.83, 137.87, 137.95, 143199594
04/19/12, 138.63, 139.15, 137.07, 137.72, 198666797
04/18/12, 138.46, 139.08, 138.38, 138.61, 123884203
04/17/12, 137.84, 139.36, 137.698, 139.082, 147877594
04/16/12, 137.84, 138.04, 136.58, 137.05, 147825203
04/13/12, 138.47, 138.8168, 137.01, 137.14, 169246594
04/12/12, 137.13, 138.90, 137.03, 138.79, 154321500
04/11/12, 137.29, 137.54, 136.75, 137.00, 154132891
04/10/12, 137.95, 138.34, 135.76, 135.90, 235360297
04/09/12, 138.03, 139.8444, 137.84, 138.22, 127555906
04/05/12, 139.38, 140.20, 139.26, 139.79, 137439297
04/04/12, 140.22, 140.339, 139.34, 139.86, 146895906
04/03/12, 141.64, 141.8826, 140.43, 141.26, 155806594
04/02/12, 140.64, 142.21, 140.36, 141.84, 151740984
03/30/12, 140.92, 141.05, 140.05, 140.81, 135486703
03/29/12, 139.64, 140.4934, 139.09, 140.23, 164963594
03/28/12, 141.10, 141.32, 139.64, 140.47, 148562000
03/27/12, 141.74, 141.83, 141.08, 141.17, 119868398
03/26/12, 140.65, 141.61, 140.60, 141.61, 120163906
03/23/12, 139.32, 139.81, 138.55, 139.65, 120521000
03/22/12, 139.18, 139.55, 138.74, 139.20, 135216703
03/21/12, 140.52, 140.65, 139.92, 140.21, 122388398
03/20/12, 140.05, 140.61, 139.64, 140.44, 121729602
03/19/12, 140.21, 141.28, 140.11, 140.85, 125291000
03/16/12, 140.36, 140.48, 140.00, 140.30, 152893406
03/15/12, 140.12, 140.78, 139.76, 140.72, 165118406
03/14/12, 140.10, 140.445, 139.48, 139.91, 145163500
03/13/12, 138.32, 140.13, 138.09, 140.062, 184090406
03/12/12, 137.55, 137.76, 137.09, 137.58, 104003508
03/09/12, 137.30, 137.93, 137.13, 137.57, 122836797
03/08/12, 136.52, 137.32, 136.24, 137.04, 116968797
03/07/12, 135.06, 135.91, 134.93, 135.69, 143692094
03/06/12, 135.35, 135.43, 134.36, 134.75, 202129797
03/05/12, 137.10, 137.20, 136.28, 136.75, 140764984
03/02/12, 137.64, 137.82, 137.00, 137.312, 120638203
03/01/12, 137.31, 137.99, 136.9312, 137.73, 145026094
02/29/12, 137.76, 138.19, 136.54, 137.02, 185934703
02/28/12, 137.20, 137.72, 136.93, 137.559, 129355797
02/27/12, 136.02, 137.53, 135.80, 137.16, 145728797
02/24/12, 136.93, 137.20, 136.63, 136.93, 105539102
02/23/12, 135.96, 136.73, 135.50, 136.631, 137704188
02/22/12, 136.26, 136.55, 135.79, 136.032, 124455203
02/21/12, 136.73, 137.05, 136.05, 136.47, 134042297
02/17/12, 136.52, 136.6275, 135.96, 136.41, 129869398
02/16/12, 134.57, 136.17, 134.33, 136.049, 186567703
02/15/12, 135.63, 135.83, 134.29, 134.56, 195195109
02/14/12, 135.00, 135.27, 134.25, 135.19, 165996188
02/13/12, 135.32, 135.52, 134.74, 135.36, 115841797
02/10/12, 134.16, 134.47, 133.84, 134.361, 167907500
02/09/12, 135.41, 135.59, 134.56, 135.36, 148602797
02/08/12, 134.86, 135.22, 134.31, 135.19, 139361406
02/07/12, 134.17, 135.02, 133.64, 134.79, 135528094
02/06/12, 133.98, 134.5134, 133.83, 134.45, 107694492
02/03/12, 134.00, 134.62, 133.77, 134.54, 160598500
02/02/12, 132.73, 133.02, 132.21, 132.68, 113090305
02/01/12, 132.29, 133.14, 132.13, 132.47, 166234500
01/31/12, 132.02, 132.18, 130.68, 131.32, 157211906
01/30/12, 130.51, 131.44, 130.06, 131.37, 147311703
01/27/12, 131.24, 132.05, 131.15, 131.82, 135259016
01/26/12, 133.15, 133.40, 131.36, 131.88, 184880500
01/25/12, 131.26, 132.87, 130.75, 132.56, 198613203
01/24/12, 130.80, 131.50, 130.60, 131.46, 103083297
01/23/12, 131.51, 132.25, 130.98, 131.61, 129295797
01/20/12, 131.24, 131.95, 130.92, 131.54, 138230094
01/19/12, 131.22, 131.57, 130.80, 131.46, 126328797
01/18/12, 129.31, 130.84, 129.08, 130.77, 163395109
01/17/12, 130.08, 130.32, 128.8957, 129.34, 132209203
01/13/12, 128.64, 129.05, 127.72, 128.84, 179836094
01/12/12, 129.57, 129.70, 128.54, 129.51, 118983602
01/11/12, 128.73, 129.37, 128.52, 129.20, 111540703
01/10/12, 129.39, 129.65, 128.95, 129.13, 115281906
01/09/12, 128.00, 128.18, 127.41, 128.02, 99530109
01/06/12, 128.20, 128.22, 127.29, 127.71, 148049906
01/05/12, 127.01, 128.23, 126.43, 128.04, 173894891
01/04/12, 127.20, 127.81, 126.71, 127.70, 127186492
01/03/12, 127.76, 128.38, 127.43, 127.495, 193697797
12/30/11, 126.02, 126.33, 125.50, 125.50, 95599000
12/29/11, 125.24, 126.25, 124.8566, 126.12, 123507102
12/28/11, 126.51, 126.53, 124.73, 124.83, 119107000
12/27/11, 126.17, 126.82, 126.06, 126.49, 86075695
12/23/11, 125.67, 126.43, 125.41, 126.39, 92187156
12/22/11, 124.63, 125.40, 124.2324, 125.27, 119465297
12/21/11, 123.93, 124.36, 122.75, 124.17, 194230891
12/20/11, 122.18, 124.14, 120.3702, 123.93, 225418094
12/19/11, 122.06, 122.32, 120.03, 120.29, 183903016
12/16/11, 122.23, 122.95, 121.30, 121.59, 220481297
12/15/11, 123.03, 123.20, 121.99, 122.185, 199109109
12/14/11, 122.56, 123.03, 121.47, 121.74, 238618797
12/13/11, 124.86, 125.57, 122.45, 123.05, 245159703
12/12/11, 124.95, 124.97, 123.16, 124.21, 215826094
12/09/11, 124.51, 126.37, 124.40, 126.05, 209111297
12/08/11, 125.90, 126.18, 123.65, 123.95, 240862703
12/07/11, 125.84, 127.26, 124.97, 126.73, 237802500
12/06/11, 126.21, 127.11, 125.76, 126.26, 178842000
12/05/11, 126.84, 127.18, 125.44, 126.22, 225263812
12/02/11, 126.12, 126.50, 124.78, 124.86, 221109703
12/01/11, 124.85, 125.64, 124.43, 124.97, 176954797
11/30/11, 123.49, 125.22, 119.9971, 124.99, 324439500
11/29/11, 120.05, 121.00, 119.61, 120.05, 199241500
11/28/11, 119.54, 120.18, 118.82, 119.71, 210686000
11/25/11, 116.38, 117.70, 116.20, 116.34, 99556977
11/23/11, 118.07, 119.19, 116.56, 116.56, 224531703
11/22/11, 119.40, 120.10, 118.52, 119.19, 216494797
11/21/11, 120.20, 120.35, 118.65, 119.661, 229611594
11/18/11, 122.50, 122.75, 121.47, 121.979, 215580406
11/17/11, 123.85, 124.16, 121.23, 122.105, 331219812
11/16/11, 124.81, 126.34, 123.90, 124.08, 235782500
11/15/11, 125.17, 126.75, 124.72, 126.083, 184709406
11/14/11, 126.19, 127.45, 124.92, 125.46, 159258203
11/11/11, 125.83, 126.99, 125.79, 126.66, 189924297
11/10/11, 124.79, 124.94, 123.02, 124.32, 231866500
11/09/11, 124.89, 125.80, 122.86, 123.161, 337982031
11/08/11, 126.92, 128.02, 125.71, 127.88, 224426203
11/07/11, 125.39, 126.39, 124.20, 126.26, 196617203
11/04/11, 125.23, 125.70, 124.01, 125.481, 249401500
11/03/11, 125.27, 126.50, 123.595, 126.25, 291174781
11/02/11, 123.83, 124.40, 122.7905, 123.99, 245529406
11/01/11, 122.03, 123.51, 121.52, 122.002, 416565688
10/31/11, 127.16, 128.6239, 125.32, 125.50, 228146594
10/28/11, 128.00, 128.85, 127.80, 128.60, 225906500
10/27/11, 127.63, 129.42, 124.3187, 128.63, 393288906
10/26/11, 124.35, 124.77, 122.21, 124.30, 289053781
10/25/11, 124.89, 124.95, 122.78, 123.049, 268596719
10/24/11, 124.17, 125.80, 124.06, 125.49, 203215594
10/21/11, 123.09, 124.12, 122.72, 123.97, 278999406
10/20/11, 121.43, 122.10, 119.82, 121.66, 262075594
10/19/11, 122.38, 123.08, 120.71, 121.13, 226601297
